회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),계속영업이익(손실)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유형자산(*)(IFRS연결)(천원)
(주)광명전기,017040,2018/12,114110654,151823119,2718092,2718092,69980314,39291851
(주)광명전기,017040,2019/12,131864294,156712705,7118200,6438173,87126906,26207863
(주)광무,029480,2010/12,81747132,106045148,-14977960,-14977960,62139409,4328975
(주)광무,029480,2011/12,51755052,75946478,-50127229,-50127229,37578091,18150942
(주)광무,029480,2012/12,41178683,55788602,-10689029,-10100957,23778931,12485607
(주)광무,029480,2013/12,20534276,35384615,-28721377,-28721377,14314055,11030800
(주)광무,029480,2014/12,,,,,,
(주)광무,029480,2015/12,,,,,,
(주)광무,029480,2016/12,,,,,,
(주)광무,029480,2017/12,,,,,,
(주)광무,029480,2018/12,23074941,28431748,-5120760,-5120760,17301470,8423811
(주)광무,029480,2019/12,36483979,63139837,-6421201,-6421201,39307761,3934491
(주)광주신세계,037710,2010/12,,,,,,
(주)광주신세계,037710,2011/12,,,,,,
(주)광주신세계,037710,2012/12,,,,,,
(주)광주신세계,037710,2013/12,,,,,,
(주)광주신세계,037710,2014/12,,,,,,
(주)광주신세계,037710,2015/12,,,,,,
(주)광주신세계,037710,2016/12,,,,,,
(주)광주신세계,037710,2017/12,,,,,,
(주)광주신세계,037710,2018/12,,,,,,
(주)광주신세계,037710,2019/12,,,,,,
(주)구영테크,053270,2010/12,150546089,142703275,2294905,2294905,53391710,83289761
(주)구영테크,053270,2011/12,147832315,149471330,-647883,-647883,58842369,79063199
(주)구영테크,053270,2012/12,155788988,161163024,1633009,1633009,66346373,83304389
(주)구영테크,053270,2013/12,172747316,149230187,2179847,2179847,53694228,82458455
(주)구영테크,053270,2014/12,170528694,155857242,2236588,2236588,57115595,85581135
(주)구영테크,053270,2015/12,172083049,161330950,4158785,4158785,58836903,90370617
(주)구영테크,053270,2016/12,148301597,166748490,2542450,2542450,54139890,97159369
(주)구영테크,053270,2017/12,149833357,187009683,1357296,1357296,64140319,108247080
(주)구영테크,053270,2018/12,195238339,202572970,5920905,5920905,60744298,131119419
(주)구영테크,053270,2019/12,230853336,206569873,3387486,3387486,70165074,123266501
(주)국동,005320,2010/12,152156795,59231420,-1206307,-1206307,40906991,9884311
(주)국동,005320,2011/12,154293577,68162305,-7212195,-7212195,39415062,26139127
(주)국동,005320,2012/12,138172746,65808287,5142066,5142066,39351863,23884364
(주)국동,005320,2013/12,147860227,73040609,4009323,4009323,48642552,22012275
(주)국동,005320,2014/12,186086561,89271398,8898694,8898694,60454108,25733379
(주)국동,005320,2015/12,170296068,93758552,5235608,5235608,63906154,27576036
(주)국동,005320,2016/12,197368723,124126720,6208749,6208749,83256355,38648210
(주)국동,005320,2017/12,191602989,106307080,-8967738,-8967738,66343830,34391285
(주)국동,005320,2018/12,219550054,123134702,2111761,2111761,83767312,34742472
